"","x","y"
"mage6.44.3.17.17.3",0,0
"mage6.46.3.18.18.1",0,0.209720000000001
"mage6.46.3.18.18.2",0.340259999999999,0
"mage6.46.3.18.18.3",0.47615,0.167990000000001
"mage6.47.2.19.19.1",0,0
"mage6.47.2.19.19.2",0.113419999999999,0.113419999999999
"mage6.48.7.20.20.1",0.12412,0
"mage6.48.7.20.20.2",0.113419999999999,0.11877
"mage6.48.7.20.20.3",0.23219,0.0417300000000001
"mage6.48.7.20.20.4",0.2461,0.138029999999999
"mage6.48.7.20.20.5",0.10807,0.10379
"mage6.48.7.20.20.6",0.10165,0.15087
"mage6.48.7.20.20.7",0,0.251449999999999
"mage6.51.4.21.21.1",0.202229999999999,0.12733
"mage6.51.4.21.21.2",0,0
"mage6.51.4.21.21.3",0.407669999999999,0.30388
"mage6.51.4.21.21.4",0.312439999999999,0.42907
"mage6.54.7.22.22.1",0.22149,0.235399999999999
"mage6.54.7.22.22.2",0.25145,0.29425
"mage6.54.7.22.22.3",0.26536,0.17762
"mage6.54.7.22.22.4",0.1391,0
"mage6.54.7.22.22.5",0.0256800000000002,0.0481499999999988
"mage6.54.7.22.22.6",0,0.254659999999999
"mage6.54.7.22.22.7",0.12412,0.0470799999999998
"mage6.58.2.23.23.1",0.21721,0
"mage6.58.2.23.23.2",0,0.107
"mage6.61.2.24.24.1",0.0278199999999998,0
"mage6.61.2.24.24.2",0,0.0053499999999997
"mage6.61.2.25.25.1",0.11449,0
"mage6.61.2.25.25.2",0,0.39376
"mage6.61.2.26.26.1",0,0
"mage6.61.2.26.26.2",0.00427999999999991,0.38734
"mage6.62.30.27.27.1",0.15515,0.12733
"mage6.62.30.27.27.2",0.214,0.11556
"mage6.62.30.27.27.3",0.13161,0.102720000000001
"mage6.62.30.27.27.4",0.14873,0.14017
"mage6.62.30.27.27.5",0.2354,0.14338
"mage6.62.30.27.27.6",0.21079,0.20544
"mage6.62.30.27.27.7",0.14231,0.23112
"mage6.62.30.27.27.8",0.1498,0.209720000000001
"mage6.62.30.27.27.9",0,0.308159999999999
